sport,market,game_id,matchup,line_source,side_a,side_b,line_a,line_b,odds_a,odds_b,timestamp
mlb,totals,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,Bovada,Over,Under,12.5,12.5,-110,-120,2026-05-06T23:33:41Z
mlb,h2h,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,BetRivers,Baltimore Orioles,Miami Marlins,,,-175,125,2026-05-06T23:34:17Z
mlb,spreads,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,BetRivers,Baltimore Orioles,Miami Marlins,-1.0,1.0,-117,-118,2026-05-06T23:34:17Z
mlb,totals,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,BetRivers,Over,Under,12.5,12.5,-107,-132,2026-05-06T23:34:17Z
mlb,h2h,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,BetMGM,Baltimore Orioles,Miami Marlins,,,-170,135,2026-05-06T23:33:05Z
mlb,spreads,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,BetMGM,Baltimore Orioles,Miami Marlins,-1.5,1.5,110,-140,2026-05-06T23:33:05Z
mlb,totals,7dd3ac6bd80317fdd884080b8d94dd77,Baltimore Orioles at Miami Marlins,BetMGM,Over,Under,12.5,12.5,-110,-115,2026-05-06T23:33:05Z
mlb,h2h,4a14bd2383b640b8cf105c59c99fa882,Boston Red Sox at Detroit Tigers,FanDuel,Boston Red Sox,Detroit Tigers,,,-280,210,2026-05-06T23:33:06Z
mlb,spreads,4a14bd2383b640b8cf105c59c99fa882,Boston Red Sox at Detroit Tigers,FanDuel,Boston Red Sox,Detroit Tigers,-1.5,1.5,-146,110,2026-05-06T23:33:06Z
mlb,totals,4a14bd2383b640b8cf105c59c99fa882,Boston Red Sox at Detroit Tigers,FanDuel,Over,Under,7.5,7.5,-110,-120,2026-05-06T23:33:06Z
mlb,h2h,4a14bd2383b640b8cf105c59c99fa882,Boston Red Sox at Detroit Tigers,BetRivers,Boston Red Sox,Detroit Tigers,,,-315,210,2026-05-06T23:34:17Z
mlb,spreads,4a14bd2383b640b8cf105c59c99fa882,Boston Red Sox at Detroit Tigers,BetRivers,Boston Red Sox,Detroit Tigers,-2.0,2.0,-114,-121,2026-05-06T23:34:17Z
mlb,totals,4a14bd2383b640b8cf105c59c99fa882,Boston Red Sox at Detroit Tigers,BetRivers,Over,Under,7.5,7.5,-117,-121,2026-05-06T23:34:17Z
mlb,h2h,4a14bd2383b640b8cf105c59c99fa882,Boston Red Sox at Detroit Tigers,BetMGM,Boston Red Sox,Detroit Tigers,,,-250,190,2026-05-06T23:33:05Z
mlb,spreads,4a14bd2383b640b8cf105c59c99fa882,Boston Red Sox at Detroit Tigers,BetMGM,Boston Red Sox,Detroit Tigers,-1.5,1.5,-135,105,2026-05-06T23:33:05Z
mlb,totals,4a14bd2383b640b8cf105c59c99fa882,Boston Red Sox at Detroit Tigers,BetMGM,Over,Under,7.5,7.5,-125,-102,2026-05-06T23:33:05Z
mlb,h2h,4a14bd2383b640b8cf105c59c99fa882,Boston Red Sox at Detroit Tigers,DraftKings,Boston Red Sox,Detroit Tigers,,,-272,200,2026-05-06T23:34:18Z
